ORDER_NO,STN_ID,WMO_ID,CLIMATE_ID,ENG_STN_NAME,PROVINCE,TC_ID,STATION_TYPE,Count,Network,Error Types
122,26986,71984,2203058,PAULATUK,NWT ,ZPK ,AU8,4506,CA,Wind
28,6845,71222,119BLM0 ,DEASE LAKE (AUT),BC ,WKX ,AU8,3158,CA,Wind
105,44204,71823,7093GJ5 ,LA GRANDE IV,QUE ,GAH ,AU8,2662,CA,"Wind, Temp,  Rain (mixed)"
16,45567,71110,8403619,ST LAWRENCE,NFLD,ADS ,AU8,2569,CA,RH
71,27205,71558,8403399,ST ANTHONY,NFLD,WDW ,AU8,2438,CA,PCPN
14,10901,71107,1051351,CAPE ST JAMES,BC ,WZV ,AU8,2287,CA,RH
10,10253,71074,2402604,ISACHSEN (AUT),NU ,WIC ,AU8,2014,CA,"Wind, RH, Rain (skewed to Wind)"
76,43223,71576,2403204,POND INLET CLIMATE,NU ,NDT ,AU8,1962,CA,Wind
64,10076,71467,2503648,SACHS HARBOUR CLIMATE,NWT ,WSY ,AU8,1820,CA,"RH, Wind"
120,10194,71966,2100LRP ,DAWSON,YT ,WON ,AU8,1740,CA,Wind
123,27324,71989,250M001 ,MOULD BAY CS,NWT ,WAY ,AU8,1605,CA,mostly RH but some others
31,32233,71288,2400602,CAMBRIDGE BAY GSN,NU ,XCM ,AU8,1583,CA,"Temp, Wind, PCPN (60-30-10 split)"
43,42483,71320,2402353,HALL BEACH CLIMATE,NU ,XUX ,AU8,1238,CA,Wind
33,27604,71296,6.11E+05,EGBERT CS,ONT ,XET ,AU8,1114,CA,Wind
50,42463,71355,2400305,ALERT CLIMATE,NU ,ZLT ,AU8,944,CA,"mostly Wind, few Temp"
65,27376,71470,230N002 ,LUPIN CS,NU ,WIJ ,AU8,944,CA,various
116,7341,71923,2301102,ENNADAI LAKE (AUT),NU ,WJC ,AU8,861,CA,PCPN
19,47347,71134,2301010,CORAL HARBOUR RCS,NU ,NZS ,AU8,851,CA,"Wind, PCPN, RH (even split)"
124,27339,71990,2100693,MACMILLAN PASS,YT ,WNV ,AU8,773,CA,"Wind,  Temp (60-40 split)"
90,26893,71713,7054096,LA POCATIERE,QUE ,WST ,AU8,769,CA,Wind
40,42103,71315,8100885,CHARLO AUTO,NB ,ZCR ,AU8,744,CA,
49,41983,71352,6142286,ELORA RCS,ONT ,ZEL ,AU8,710,CA,
51,42583,71356,2300501,BAKER LAKE CLIMATE,NU ,XBL ,AU8,679,CA,
27,32413,71212,7042395,FORET MONTMORENCY RCS,QUE ,MFM ,AU8,568,CA,
97,10808,71744,8100989,MIRAMICHI RCS,NB ,ACQ ,AU8,557,CA,
72,49728,71559,4012410,ESTEVAN,SASK,PJM ,AU8,545,CA,
46,42883,71331,4063605,ISLAND FALLS (AUT),SASK,PIF ,AU8,535,CA,
113,6781,71900,8502400,HOPEDALE (AUT),NFLD,WHO ,AU8,483,CA,
117,574,71952,1091174,BURNS LAKE DECKER LAKE,BC ,WPZ ,AU8,480,CA,
95,30346,71742,8401705,GANDER AIRPORT CS,NFLD,XGD ,AU8,456,CA,
56,41943,71363,2302340,GJOA HAVEN CLIMATE,NU ,ZHK ,AU8,428,CA,
99,44344,71754,4045607,NORTH BATTLEFORD RCS,SASK,PQW ,AU8,366,CA,
62,4057,71435,6049095,UPSALA (AUT),ONT ,WDV ,AU8,343,CA,
85,10813,71665,8502799,NAIN,NFLD,WFP ,AU8,338,CA,
108,7633,71832,6075543,NAGAGAMI (AUT),ONT ,WNZ ,AU8,327,CA,
74,27528,71573,6131983,DELHI CS,ONT ,XDI ,AU8,325,CA,Wind few SOG
12,7534,71077,4060983,BUFFALO NARROWS (AUT),SASK,WVT ,AU8,324,CA,Wind PCPN (50-50 split)
88,44244,71696,5060608,CHURCHILL CLIMATE,MAN ,PYQ ,AU8,281,CA,
68,43183,71493,8204402,PARRSBORO,NS ,APR ,AU8,271,CA,
24,32293,71199,2101204,WATSON LAKE (AUT),YT ,XQH ,AU8,245,CA,
44,42503,71321,2402592,IQALUIT CLIMATE,NU ,XFB ,AU8,238,CA,
92,5966,71726,7075800,PARENT,QUE ,WPK ,AU8,219,CA,
66,43004,71480,2202810,NORMAN WELLS CLIMATE,NWT ,NVQ ,AU8,217,CA,
42,27212,71318,3011887,CORONATION CLIMATE,ALTA,WCT ,AU8,214,CA,
18,27378,71122,3050519,BANFF CS,ALTA,WZG ,AU8,185,CA,
77,27216,71585,3062696,FORT MCMURRAY CS,ALTA,XMM ,AU8,176,CA,
53,42244,71358,2400802,CLYDE RIVER CLIMATE,NU ,ZCY ,AU8,175,CA,
112,8040,71894,1032731,ESTEVAN POINT CS,BC ,WEB ,AU8,174,CA,
29,7747,71261,6122847,GODERICH,ONT ,WGD ,AU8,173,CA,
21,27793,71155,3012206,EDMONTON INTERNATIONAL CS,ALTA,XEG ,AU8,171,CA,PCPN
102,48108,71779,1096631,QUESNEL AIRPORT AUTO,BC ,VQZ ,AU8,156,CA,
1,32148,71017,2403756,STEFANSSON ISLAND,NU ,XSE ,AU8,139,CA,"Wind, few PCPN"
101,48168,71773,2101310,WHITEHORSE AUTO,YT ,VXY ,AU8,132,CA,
87,43983,71695,5052890,THE PAS CLIMATE,MAN ,PQD ,AU8,123,CA,
52,42803,71357,2400573,QIKIQTARJUAQ CLIMATE,NU ,ZVM ,AU8,113,CA,
86,50777,71693,3065997,SLAVE LAKE RCS,ALTA,PZH ,AU8,109,CA,
115,30166,71907,710S005 ,INUKJUAK,QUE ,MJK ,AU8,104,CA,
78,29371,71586,4064149,LA RONGE RCS,SASK,XOX ,AU8,91,CA,
55,41884,71362,2202202,FORT SMITH CLIMATE,NWT ,ZSM ,AU8,86,CA,
100,44503,71758,8205702,SYDNEY CS,NS ,AQY ,AU8,85,CA,
75,43163,71575,2400636,CAPE DORSET CLIMATE,NU ,NCD ,AU8,83,CA,
41,42243,71317,8201390,DEBERT,NS ,ZDB ,AU8,83,CA,
91,5606,71721,7034482,MANIWAKI AIRPORT,QUE ,WMJ ,AU8,79,CA,
2,32150,71018,2403505,RESOLUTE CS,NU ,XRB ,AU8,77,CA,
7,31167,71049,2403945,WAGER BAY (AUT),NU ,XWB ,AU7,75,CA,
54,41885,71361,2202402,HAY RIVER CLIMATE,NWT ,ZHY ,AU8,72,CA,
20,45287,71152,8400801,BURGEO RCS,NFLD,ABF ,AU8,68,CA,
89,10763,71710,7053KGR ,ILES DE LA MADELEINE,QUE ,WGR ,AU8,67,CA,
39,42083,71311,8203702,NAPPAN AUTO,NS ,XNP ,AU8,67,CA,
